Timestamp,Date,Time,Soil_Moisture,Soil_Status,Temperature_C,Humidity_Percent,Weather_Description,Weather_Temp_C,Weather_Humidity,Rain_Coming,Decision,Water_Saved_L,Irrigation_Count
2025-10-15 14:00:23,2025-10-15,14:00:23,669,WET,33.8,31.0,Sunny,34.0,14,No,STOP,0,0
2025-10-15 14:00:30,2025-10-15,14:00:30,668,WET,33.8,31.0,Sunny,34.0,14,No,STOP,0,0
2025-10-15 14:00:54,2025-10-15,14:00:54,0,DRY,33.8,31.0,Sunny,34.0,14,No,IRRIGATE,0,4
2025-10-15 14:01:02,2025-10-15,14:01:02,0,DRY,33.8,31.0,Sunny,34.0,14,No,IRRIGATE,0,6
2025-10-15 14:01:02,2025-10-15,14:01:02,0,DRY,33.8,31.0,Sunny,34.0,14,No,IRRIGATE,0,6
2025-10-15 14:02:03,2025-10-15,14:02:03,665,WET,33.3,31.0,Sunny,33.7,15,No,STOP,0,7
2025-10-16 13:49:50,2025-10-16,13:49:50,0,DRY,33.3,27.0,Sunny,34.6,12,No,IRRIGATE,0,7
2025-10-16 13:50:07,2025-10-16,13:50:07,0,DRY,33.3,27.0,Sunny,34.6,12,No,IRRIGATE,0,10
2025-10-16 13:51:09,2025-10-16,13:51:09,0,DRY,33.3,26.0,Sunny,34.6,12,No,IRRIGATE,0,19
2025-10-16 13:52:09,2025-10-16,13:52:09,610,WET,33.3,26.0,Sunny,34.6,12,No,STOP,0,23
2025-10-16 13:53:10,2025-10-16,13:53:10,561,MODERATE,33.3,26.0,Sunny,34.6,12,No,STOP,0,24
2025-10-16 13:54:13,2025-10-16,13:54:13,553,MODERATE,33.3,25.0,Sunny,34.6,12,No,STOP,0,24
2025-10-16 13:55:16,2025-10-16,13:55:16,682,WET,33.3,24.0,Sunny,34.6,12,No,STOP,0,24
2025-10-16 13:56:22,2025-10-16,13:56:22,618,WET,33.3,24.0,Sunny,34.6,12,No,STOP,0,24
2025-10-16 13:57:22,2025-10-16,13:57:22,629,WET,33.3,25.0,Sunny,34.9,11,No,STOP,0,24
2025-10-16 13:58:22,2025-10-16,13:58:22,643,WET,33.8,25.0,Sunny,34.6,12,No,STOP,0,24
2025-10-16 13:59:23,2025-10-16,13:59:23,640,WET,33.8,25.0,Sunny,34.6,12,No,STOP,0,24
